SessionID,Track,Date,Lap,LapTime_ms,S1_ms,S2_ms,S3_ms,Notes
KJZ-2025-09-09-S04,Karting Jerez (Indoor),2025-09-09,1,29260,10302,8701,10257,clean air
KJZ-2025-09-09-S04,Karting Jerez (Indoor),2025-09-09,2,28871,10061,8652,10158,clean air
KJZ-2025-09-09-S04,Karting Jerez (Indoor),2025-09-09,3,30688,10737,9214,10737,traffic/mistake
KJZ-2025-09-09-S04,Karting Jerez (Indoor),2025-09-09,4,27610,9758,8209,9643,push lap
KJZ-2025-09-09-S04,Karting Jerez (Indoor),2025-09-09,5,27948,9865,8407,9676,clean air
KJZ-2025-09-09-S04,Karting Jerez (Indoor),2025-09-09,6,28336,10000,8519,9817,minor error
KJZ-2025-09-09-S04,Karting Jerez (Indoor),2025-09-09,7,27881,9646,8355,9880,clean air
KJZ-2025-09-09-S04,Karting Jerez (Indoor),2025-09-09,8,27872,9758,8443,9671,clean air
KJZ-2025-09-09-S04,Karting Jerez (Indoor),2025-09-09,9,27970,9840,8443,9687,clean air
KJZ-2025-09-09-S04,Karting Jerez (Indoor),2025-09-09,10,27808,9740,8365,9703,push lap
KJZ-2025-09-09-S04,Karting Jerez (Indoor),2025-09-09,11,28164,9893,8536,9735,clean air
KJZ-2025-09-09-S04,Karting Jerez (Indoor),2025-09-09,12,28355,9854,8586,9915,clean air
KJZ-2025-09-09-S04,Karting Jerez (Indoor),2025-09-09,13,27780,9721,8303,9756,push lap
KJZ-2025-09-09-S04,Karting Jerez (Indoor),2025-09-09,14,27886,9643,8306,9937,push lap
KJZ-2025-09-09-S04,Karting Jerez (Indoor),2025-09-09,15,28641,9969,8561,10111,minor error
KJZ-2025-09-09-S04,Karting Jerez (Indoor),2025-09-09,16,28309,9833,8554,9922,clean air
KJZ-2025-09-09-S04,Karting Jerez (Indoor),2025-09-09,17,28569,9973,8624,9972,minor error
KJZ-2025-09-09-S04,Karting Jerez (Indoor),2025-09-09,18,28448,10071,8465,9912,clean air
KJZ-2025-09-09-S04,Karting Jerez (Indoor),2025-09-09,19,27809,9666,8255,9888,push lap
KJZ-2025-09-09-S04,Karting Jerez (Indoor),2025-09-09,20,27861,9697,8463,9701,push lap
KJZ-2025-09-09-S04,Karting Jerez (Indoor),2025-09-09,21,28678,10059,8690,9929,minor error
KJZ-2025-09-09-S04,Karting Jerez (Indoor),2025-09-09,22,27949,9766,8456,9727,push lap
